,year,geoid,state,hispanic_pct,poverty,poverty_mcare,population,median_house_value,blk_pct,white_pct,native_pct,asian_pct,no_grad,no_grad_mcare,median_household_income,owner_occupied,median_age,age_pct_0_14,age_pct_15_44,age_pct_45_65,age_pct_65_plus
32,2000,01,01,0.017051561691889098,0.16104037930120493,0.15533889684104393,4447100.0,85100.0,0.25992894245688203,0.7112068539047919,0.0050437363675204065,0.007048638438532977,0.25844821819179375,0.45400566869185627,34135.0,0.7246096898243028,35.8,0.20948235929032402,0.4317357378966068,0.2284052528614153,0.13037664995165388
51,2000,02,02,0.04123573210491728,0.09397335230136991,0.06792804874493455,626932.0,144200.0,0.034751775312155064,0.6931118526411157,0.15638538150868037,0.04006176108413672,0.1354276221573008,0.3257344769612173,51571.0,0.6250406137184116,32.4,0.2520576394250094,0.4681656064772575,0.22283437438191064,0.05694237971582245
50,2000,04,04,0.2525258096858243,0.1391427771398209,0.08372413877493584,5130632.0,121300.0,0.030965580848519247,0.7549968502905685,0.04987280319461618,0.017977512322068703,0.22792030958104062,0.2491345956528317,40558.0,0.6803437809487795,34.2,0.22423475314542146,0.43699314236530706,0.20860509972260727,0.13016700476666423
45,2000,05,05,0.032492705917558165,0.15836864264185035,0.1384522540509749,2673400.0,72800.0,0.15671055584648763,0.7999543652277998,0.006661180519189048,0.0075634024089174835,0.2543667870340363,0.45032810377632904,32182.0,0.6939079079616686,36.0,0.21012343831824642,0.423182090222189,0.22679060372559287,0.13990386773397173
47,2000,06,06,0.32376800798118827,0.14217896507932135,0.08081528005978482,33871648.0,211500.0,0.06683707860922504,0.5954850203922761,0.009841446155793777,0.10916247712541179,0.25090282283885496,0.29943202759902016,47493.0,0.5691044061177776,33.3,0.22979935903915866,0.45898501897516175,0.20506023208554836,0.10615538990013122
46,2000,08,08,0.17101984743543813,0.09256045729080897,0.0744047320416211,4301261.0,166600.0,0.038375490350387946,0.8276654218379215,0.010285588342581397,0.022136066609303645,0.16446084236680564,0.24617467807649202,47203.0,0.6730861311826167,34.3,0.2132932644636073,0.4683105721787169,0.2216633680216104,0.0967327953360654
44,2000,09,09,0.09405869510639203,0.07863069382768717,0.07005348687605274,3405565.0,166900.0,0.09098137900759493,0.8164151910182305,0.002830367354609294,0.02417014504201212,0.19091805076479224,0.32189257320147374,53935.0,0.6681639739718976,37.4,0.20821067869795468,0.4219232344706385,0.23180294606034535,0.1380631407710615
12,2000,10,10,0.047571465033180195,0.09208198472699201,0.07863235536508983,783600.0,130400.0,0.19227411944869832,0.7462646758550281,0.0034851965288412454,0.020749106687085246,0.20445086646383034,0.3288383987410249,47381.0,0.7231736382625462,36.0,0.20752679938744256,0.4386651352730985,0.22398928024502296,0.12981878509443592
33,2000,11,11,0.07858105545057416,0.20215745388686937,0.1637684647552574,572059.0,157200.0,0.6001339022723181,0.3078371286877752,0.002994446377034537,0.026551457104948967,0.22794373065167667,0.378338659970323,40127.0,0.407565495413509,34.6,0.1712043687801433,0.4879374330270129,0.21867150066688926,0.12218669752595449
24,2000,12,12,0.16785455831416327,0.1251254776641908,0.09067283796303104,15982378.0,105500.0,0.14613000643583826,0.7799233005251158,0.003350002108572329,0.016659348189612334,0.2410778886548752,0.28841214808827936,38819.0,0.7008281411798712,38.7,0.18986942994340392,0.40743148485162844,0.22703079604299184,0.17566828916197577
25,2000,13,13,0.05316429471958124,0.12987921954850018,0.13546340442109894,8186453.0,111200.0,0.28700366324707416,0.6507434904958228,0.002655240309814275,0.0211532393821842,0.23085519091783502,0.4253197716478869,42433.0,0.6749517441139128,33.4,0.2221344213421857,0.4692187202442865,0.21272314151195884,0.09592371690156896
40,2000,15,15,0.07238656351394963,0.1070194563091971,0.07394678211555016,1211537.0,272700.0,0.018161228257989645,0.24275114998551428,0.0029177812976409305,0.4158915493294881,0.16462824297981274,0.353994327948815,49820.0,0.5651423469893859,36.2,0.20325338805170623,0.4347758260787743,0.22941107040065636,0.1325597154688631
